comparison,update,level,subject,seed,difference,mean,median,sd
full_vs_stop_b1,raw_rooted,run,8.0,6398.0,0.0012811189777950371,,,
full_vs_stop_b1,raw_rooted,subject_mean,1.0,,-0.0007268090531004079,,,
full_vs_stop_b1,raw_rooted,subject_mean,3.0,,-0.0005944361078641011,,,
full_vs_stop_b1,raw_rooted,subject_mean,8.0,,0.00011809439501405301,,,
full_vs_stop_b1,raw_rooted,grand,,,,-0.00040105025531681865,0.00015860575982573621,0.0017480896146938555
full_vs_sw_b1,raw_rooted,run,1.0,1788.0,-0.0010073141539864716,,,
full_vs_sw_b1,raw_rooted,run,1.0,3654.0,-4.1260993888569963e-05,,,
full_vs_sw_b1,raw_rooted,run,1.0,6398.0,-0.0021391941935318126,,,
full_vs_sw_b1,raw_rooted,run,3.0,1788.0,-0.0012963123022305956,,,
full_vs_sw_b1,raw_rooted,run,3.0,3654.0,0.001979091839535596,,,
full_vs_sw_b1,raw_rooted,run,3.0,6398.0,-0.0017222996755466013,,,
full_vs_sw_b1,raw_rooted,run,8.0,1788.0,-0.0009185681053329731,,,
full_vs_sw_b1,raw_rooted,run,8.0,3654.0,-0.00027788247588500514,,,
full_vs_sw_b1,raw_rooted,run,8.0,6398.0,0.0017545386595811951,,,
full_vs_sw_b1,raw_rooted,subject_mean,1.0,,-0.0010625897804689515,,,
full_vs_sw_b1,raw_rooted,subject_mean,3.0,,-0.0003465067127472003,,,
full_vs_sw_b1,raw_rooted,subject_mean,8.0,,0.00018602935945440566,,,
full_vs_sw_b1,raw_rooted,grand,,,,-0.0004076890445872487,-0.0009185681053329731,0.0014430688249141511
full_vs_stop_bscale,raw_rooted,run,1.0,1788.0,4.179445316023238,,,
full_vs_stop_bscale,raw_rooted,run,1.0,3654.0,4.18855420663244,,,
full_vs_stop_bscale,raw_rooted,run,1.0,6398.0,4.183499368433465,,,
full_vs_stop_bscale,raw_rooted,run,3.0,1788.0,3.015152613565368,,,
full_vs_stop_bscale,raw_rooted,run,3.0,3654.0,0.26174664449010043,,,
full_vs_stop_bscale,raw_rooted,run,3.0,6398.0,0.30120988099714374,,,
full_vs_stop_bscale,raw_rooted,run,8.0,1788.0,0.3080670674756121,,,
full_vs_stop_bscale,raw_rooted,run,8.0,3654.0,0.2848822919750722,,,
full_vs_stop_bscale,raw_rooted,run,8.0,6398.0,0.3482793880595332,,,
full_vs_stop_bscale,raw_rooted,subject_mean,1.0,,4.183832963696381,,,
full_vs_stop_bscale,raw_rooted,subject_mean,3.0,,1.1927030463508708,,,
full_vs_stop_bscale,raw_rooted,subject_mean,8.0,,0.31374291583673913,,,
full_vs_stop_bscale,raw_rooted,grand,,,,1.8967596419613306,0.3482793880595332,1.926197288530693
full_vs_sw_bscale,raw_rooted,run,1.0,1788.0,4.1767808578078425,,,
full_vs_sw_bscale,raw_rooted,run,1.0,3654.0,4.190053346407507,,,
full_vs_sw_bscale,raw_rooted,run,1.0,6398.0,4.179244544702081,,,
full_vs_sw_bscale,raw_rooted,run,3.0,1788.0,3.016424529915016,,,
full_vs_sw_bscale,raw_rooted,run,3.0,3654.0,2.979051417013838,,,
full_vs_sw_bscale,raw_rooted,run,3.0,6398.0,3.006983703456213,,,
full_vs_sw_bscale,raw_rooted,run,8.0,1788.0,3.064284366350315,,,
full_vs_sw_bscale,raw_rooted,run,8.0,3654.0,3.02943426277663,,,
full_vs_sw_bscale,raw_rooted,run,8.0,6398.0,3.07684235407558,,,
full_vs_sw_bscale,raw_rooted,subject_mean,1.0,,4.182026249639144,,,
full_vs_sw_bscale,raw_rooted,subject_mean,3.0,,3.000819883461689,,,
full_vs_sw_bscale,raw_rooted,subject_mean,8.0,,3.0568536610675086,,,
full_vs_sw_bscale,raw_rooted,grand,,,,3.41323326472278,3.064284366350315,0.5773282487605539
full_vs_stop_ess025,raw_rooted,run,1.0,1788.0,0.3420325307258151,,,
full_vs_stop_ess025,raw_rooted,run,1.0,3654.0,0.3285698247865543,,,
full_vs_stop_ess025,raw_rooted,run,1.0,6398.0,0.3302335751087625,,,
full_vs_stop_ess025,raw_rooted,run,3.0,1788.0,0.2585019212689714,,,
full_vs_stop_ess025,raw_rooted,run,3.0,3654.0,0.264610893752116,,,
full_vs_stop_ess025,raw_rooted,run,3.0,6398.0,0.2778750369267501,,,
full_vs_stop_ess025,raw_rooted,run,8.0,1788.0,0.22432501178048359,,,
full_vs_stop_ess025,raw_rooted,run,8.0,3654.0,0.2525306435305694,,,
full_vs_stop_ess025,raw_rooted,run,8.0,6398.0,0.23167892133523127,,,
full_vs_stop_ess025,raw_rooted,subject_mean,1.0,,0.33361197687371064,,,
full_vs_stop_ess025,raw_rooted,subject_mean,3.0,,0.26699595064927917,,,
full_vs_stop_ess025,raw_rooted,subject_mean,8.0,,0.2361781922154281,,,
full_vs_stop_ess025,raw_rooted,grand,,,,0.2789287065794726,0.264610893752116,0.04417698741939803
full_vs_sw_ess025,raw_rooted,run,1.0,1788.0,0.40784832812355465,,,
full_vs_sw_ess025,raw_rooted,run,1.0,3654.0,0.3963340758730707,,,
full_vs_sw_ess025,raw_rooted,run,1.0,6398.0,0.3945272049827361,,,
full_vs_sw_ess025,raw_rooted,run,3.0,1788.0,0.31226062781340125,,,
full_vs_sw_ess025,raw_rooted,run,3.0,3654.0,0.3193000408237042,,,
full_vs_sw_ess025,raw_rooted,run,3.0,6398.0,0.3388983765455015,,,
full_vs_sw_ess025,raw_rooted,run,8.0,1788.0,0.27487462749205693,,,
full_vs_sw_ess025,raw_rooted,run,8.0,3654.0,0.3022964402155487,,,
full_vs_sw_ess025,raw_rooted,run,8.0,6398.0,0.28252897057938675,,,
full_vs_sw_ess025,raw_rooted,subject_mean,1.0,,0.39956986965978714,,,
full_vs_sw_ess025,raw_rooted,subject_mean,3.0,,0.3234863483942023,,,
full_vs_sw_ess025,raw_rooted,subject_mean,8.0,,0.28656667942899744,,,
full_vs_sw_ess025,raw_rooted,grand,,,,0.3365409658276623,0.3193000408237042,0.05099929166302292
full_vs_stop_ess050,raw_rooted,run,1.0,1788.0,0.12735564855227255,,,
full_vs_stop_ess050,raw_rooted,run,1.0,3654.0,0.1402079108010872,,,
full_vs_stop_ess050,raw_rooted,run,1.0,6398.0,0.14188253522685146,,,
full_vs_stop_ess050,raw_rooted,run,3.0,1788.0,0.1257739832077378,,,
full_vs_stop_ess050,raw_rooted,run,3.0,3654.0,0.13114074785170926,,,
full_vs_stop_ess050,raw_rooted,run,3.0,6398.0,0.12923563667189253,,,
full_vs_stop_ess050,raw_rooted,run,8.0,1788.0,0.09190140491558763,,,
full_vs_stop_ess050,raw_rooted,run,8.0,3654.0,0.10672347337773369,,,
full_vs_stop_ess050,raw_rooted,run,8.0,6398.0,0.1102500855602141,,,
full_vs_stop_ess050,raw_rooted,subject_mean,1.0,,0.13648203152673707,,,
full_vs_stop_ess050,raw_rooted,subject_mean,3.0,,0.12871678924377986,,,
full_vs_stop_ess050,raw_rooted,subject_mean,8.0,,0.10295832128451181,,,
full_vs_stop_ess050,raw_rooted,grand,,,,0.12271904735167623,0.12735564855227255,0.016501446042635877
full_vs_sw_ess050,raw_rooted,run,1.0,1788.0,0.1528639735710391,,,
full_vs_sw_ess050,raw_rooted,run,1.0,3654.0,0.1644859610949635,,,
full_vs_sw_ess050,raw_rooted,run,1.0,6398.0,0.16379709504340523,,,
full_vs_sw_ess050,raw_rooted,run,3.0,1788.0,0.13739911182671127,,,
full_vs_sw_ess050,raw_rooted,run,3.0,3654.0,0.13983549227641545,,,
full_vs_sw_ess050,raw_rooted,run,3.0,6398.0,0.14043712367810557,,,
full_vs_sw_ess050,raw_rooted,run,8.0,1788.0,0.10748165716196434,,,
full_vs_sw_ess050,raw_rooted,run,8.0,3654.0,0.12052525589036633,,,
full_vs_sw_ess050,raw_rooted,run,8.0,6398.0,0.13208895312942426,,,
full_vs_sw_ess050,raw_rooted,subject_mean,1.0,,0.16038234323646927,,,
