method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_bscale,bscale,normalized,8,1788,50,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0018969618327523,0.0025286850276569,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed
ebsw_full_bscale,bscale,normalized,8,1788,100,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0018932974564242,0.0024478017575136,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361
ebsw_full_bscale,bscale,normalized,8,1788,200,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019094825930411,0.0022106919596529,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc
ebsw_full_bscale,bscale,normalized,8,1788,300,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019138516998789,0.0022615836039425,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740
ebsw_full_bscale,bscale,normalized,8,1788,400,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019138939477428,0.0022850276472741,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97
ebsw_full_bscale,bscale,normalized,8,1788,500,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019136090334115,0.002236014280742,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836
ebsw_full_bscale,bscale,normalized,1,3654,0,122.7769233819667,1.0,1.8629582380443552,0.908,0.4314791190221777,1.4314791190221774,-0.0010548204100744,0.9514488560487238,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_bscale,bscale,normalized,1,3654,25,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019091541279902,0.0023207438115267,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
ebsw_full_bscale,bscale,normalized,1,3654,50,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019260440221323,0.0022940322835282,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc
ebsw_full_bscale,bscale,normalized,1,3654,100,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019261605725664,0.0023284699866747,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f
ebsw_full_bscale,bscale,normalized,1,3654,200,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019354370784554,0.0022476081113954,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2
ebsw_full_bscale,bscale,normalized,1,3654,300,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019334236663203,0.0021532348600191,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e
ebsw_full_bscale,bscale,normalized,1,3654,400,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.001937181555247,0.0021614614267977,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95
ebsw_full_bscale,bscale,normalized,1,3654,500,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019254542066487,0.0021802066402085,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b
ebsw_full_bscale,bscale,normalized,3,3654,0,122.7769233819667,1.0000000000000018,1.8149029741565192,0.996,0.4074514870782588,1.4074514870782606,-0.0398336068978199,1.3928165045940009,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_bscale,bscale,normalized,3,3654,25,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0015936335540342,0.0051953639419107,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
ebsw_full_bscale,bscale,normalized,3,3654,50,122.7769233819667,1.0000000000000002,1.0000000000000002,0.0,-0.0,1.0000000000000002,0.001877791692421,0.0024275898379852,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc
ebsw_full_bscale,bscale,normalized,3,3654,100,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0018981811292398,0.0023500070559767,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f
ebsw_full_bscale,bscale,normalized,3,3654,200,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019098026089394,0.0022396672343482,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2
ebsw_full_bscale,bscale,normalized,3,3654,300,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019122102171321,0.0022300425193808,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e
ebsw_full_bscale,bscale,normalized,3,3654,400,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019072926934121,0.0022535987789192,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95
ebsw_full_bscale,bscale,normalized,3,3654,500,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.0019219220247896,0.0022373385721536,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b
ebsw_full_bscale,bscale,normalized,8,3654,0,122.7769233819667,1.000000000000001,1.3980333796675013,0.996,0.1990166898337499,1.199016689833751,-0.0462219671008027,0.9352647165572636,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_bscale,bscale,normalized,8,3654,25,122.7769233819667,1.0,1.0,0.0,-0.0,1.0,0.001402164340543,0.01256945083152,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
