q,L,repeat,method,estimate,own_metric_reference,error
16,20,5,evar,0.4647469421272251,0.5168421624452488,-0.052095220318023716
16,20,5,cvar,0.5113413780631177,0.5242524329003955,-0.012911054837277725
16,20,5,sampled_max,0.6132023239101858,1.1472011535764581,-0.5339988296662723
16,20,6,sw,0.3254184359546475,0.3315254891038292,-0.006107053149181696
16,20,6,ebsw_exp,0.35751798151667824,0.3764519859695811,-0.018934004452902886
16,20,6,power_ebsw,0.43904076579865114,0.46045034772148125,-0.0214095819228301
16,20,6,entropic,0.3409418254350641,0.3521125831997691,-0.011170757764704997
16,20,6,evar,0.4747578709211357,0.5168421624452488,-0.04208429152411314
16,20,6,cvar,0.5143306529575901,0.5242524329003955,-0.009921779942805409
16,20,6,sampled_max,0.6481280026387372,1.1472011535764581,-0.499073150937721
16,20,7,sw,0.3353877779294245,0.3315254891038292,0.003862288825595306
16,20,7,ebsw_exp,0.36159139529562817,0.3764519859695811,-0.014860590673952956
16,20,7,power_ebsw,0.4336200024167088,0.46045034772148125,-0.026830345304772463
16,20,7,entropic,0.3484417387112116,0.3521125831997691,-0.003670844488557534
16,20,7,evar,0.460828581269312,0.5168421624452488,-0.056013581175936855
16,20,7,cvar,0.5147185198556296,0.5242524329003955,-0.009533913044765918
16,20,7,sampled_max,0.5643337518515795,1.1472011535764581,-0.5828674017248786
16,20,8,sw,0.37299671856068706,0.3315254891038292,0.04147122945685788
16,20,8,ebsw_exp,0.39503355587382144,0.3764519859695811,0.018581569904240314
16,20,8,power_ebsw,0.4435227260665419,0.46045034772148125,-0.01692762165493933
16,20,8,entropic,0.383984470155311,0.3521125831997691,0.031871886955541884
16,20,8,evar,0.48402031245683924,0.5168421624452488,-0.03282184998840959
16,20,8,cvar,0.5312505944277663,0.5242524329003955,0.006998161527370872
16,20,8,sampled_max,0.5781430038157307,1.1472011535764581,-0.5690581497607274
16,20,9,sw,0.41039939897074934,0.3315254891038292,0.07887390986692017
16,20,9,ebsw_exp,0.5455142606456397,0.3764519859695811,0.16906227467605855
16,20,9,power_ebsw,0.6231574187945061,0.46045034772148125,0.1627070710730249
16,20,9,entropic,0.4718132132328481,0.3521125831997691,0.11970063003307896
16,20,9,evar,0.6575232899172165,0.5168421624452488,0.1406811274719677
16,20,9,cvar,0.6727269484112504,0.5242524329003955,0.1484745155108549
16,20,9,sampled_max,0.9509577233948129,1.1472011535764581,-0.19624343018164525
16,20,10,sw,0.35470481557494055,0.3315254891038292,0.023179326471111372
16,20,10,ebsw_exp,0.4053180561424467,0.3764519859695811,0.028866070172865577
16,20,10,power_ebsw,0.5040143803912008,0.46045034772148125,0.04356403266971959
16,20,10,entropic,0.3794928672006255,0.3521125831997691,0.027380284000856403
16,20,10,evar,0.5237369544685635,0.5168421624452488,0.0068947920233146665
16,20,10,cvar,0.602586067309712,0.5242524329003955,0.07833363440931651
16,20,10,sampled_max,0.6573239066805006,1.1472011535764581,-0.4898772468959576
16,20,11,sw,0.35419045640889574,0.3315254891038292,0.022664967305066563
16,20,11,ebsw_exp,0.4093547739927283,0.3764519859695811,0.03290278802314717
16,20,11,power_ebsw,0.508029080780614,0.46045034772148125,0.047578733059132794
16,20,11,entropic,0.3807364572286475,0.3521125831997691,0.028623874028878393
16,20,11,evar,0.5343826880178928,0.5168421624452488,0.01754052557264396
16,20,11,cvar,0.5938366013580484,0.5242524329003955,0.06958416845765292
16,20,11,sampled_max,0.7346862705898253,1.1472011535764581,-0.41251488298663286
16,20,12,sw,0.3377887946102873,0.3315254891038292,0.00626330550645815
16,20,12,ebsw_exp,0.363893822294591,0.3764519859695811,-0.01255816367499013
16,20,12,power_ebsw,0.42731674174046547,0.46045034772148125,-0.03313360598101578
16,20,12,entropic,0.35042194661085485,0.3521125831997691,-0.0016906365889142738
16,20,12,evar,0.47245743136990226,0.5168421624452488,-0.04438473107534657
16,20,12,cvar,0.5186780872834651,0.5242524329003955,-0.005574345616930376
16,20,12,sampled_max,0.6261753245394328,1.1472011535764581,-0.5210258290370253
16,20,13,sw,0.38703112071364826,0.3315254891038292,0.055505631609819084
16,20,13,ebsw_exp,0.4550906114101895,0.3764519859695811,0.0786386254406084
16,20,13,power_ebsw,0.556874206560503,0.46045034772148125,0.09642385883902177
16,20,13,entropic,0.42066502671829564,0.3521125831997691,0.06855244351852652
16,20,13,evar,0.5709229969563218,0.5168421624452488,0.05408083451107293
16,20,13,cvar,0.6607219801636133,0.5242524329003955,0.1364695472632178
16,20,13,sampled_max,0.7045694018508885,1.1472011535764581,-0.4426317517255697
16,20,14,sw,0.3368889069915398,0.3315254891038292,0.005363417887710609
16,20,14,ebsw_exp,0.3753255133100223,0.3764519859695811,-0.0011264726595588415
16,20,14,power_ebsw,0.4648811868035067,0.46045034772148125,0.004430839082025462
16,20,14,entropic,0.35566018638419095,0.3521125831997691,0.0035476031844218214
16,20,14,evar,0.4910401538226391,0.5168421624452488,-0.02580200862260973
16,20,14,cvar,0.5537008556157101,0.5242524329003955,0.02944842271531467
16,20,14,sampled_max,0.6278641720553556,1.1472011535764581,-0.5193369815211025
16,20,15,sw,0.3026422410303157,0.3315254891038292,-0.0288832480735135
16,20,15,ebsw_exp,0.3277180467293068,0.3764519859695811,-0.048733939240274304
16,20,15,power_ebsw,0.4070869964315225,0.46045034772148125,-0.05336335128995873
16,20,15,entropic,0.3148221705170004,0.3521125831997691,-0.037290412682768725
