method,sampling,aggregation,update,subject,seed,threshold_relative_lew,required_reduction_pct,reached,first_reach_epoch,first_reach_optimization_ms,first_reach_total_projection_count
fixed_uniform_raw_power,fixed,uniform,raw_power,3,3654,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,3,3654,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,8,3654,0.95,5.000000000000004,True,2.0,4.148121923208237,1000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,3654,0.9,9.999999999999998,True,3.0,5.914074135944247,1500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,3654,0.8,19.999999999999996,True,13.0,22.67151838168502,6500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,3654,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,8,3654,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,6398,0.95,5.000000000000004,True,3.0,119.6333677507937,1500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,1,6398,0.9,9.999999999999998,True,9.0,129.22529131174088,4500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,1,6398,0.8,19.999999999999996,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,6398,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,1,6398,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,3,6398,0.95,5.000000000000004,True,2.0,4.203488351777196,1000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,6398,0.9,9.999999999999998,True,5.0,9.349979693070054,2500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,6398,0.8,19.999999999999996,True,41.0,82.73108187131584,20500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,3,6398,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,3,6398,0.6,40.0,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,8,6398,0.95,5.000000000000004,True,2.0,3.872294444590807,1000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,6398,0.9,9.999999999999998,True,3.0,6.031538592651486,1500.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,6398,0.8,19.999999999999996,True,12.0,28.39500387199223,6000.0
fixed_uniform_raw_power,fixed,uniform,raw_power,8,6398,0.7,30.000000000000004,False,,,
fixed_uniform_raw_power,fixed,uniform,raw_power,8,6398,0.6,40.0,False,,,
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,1,1788,0.95,5.000000000000004,True,2.0,4.561542766168714,1000.0
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,1,1788,0.9,9.999999999999998,True,5.0,10.369286872446535,2500.0
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,1,1788,0.8,19.999999999999996,False,,,
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,1,1788,0.7,30.000000000000004,False,,,
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,1,1788,0.6,40.0,False,,,
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,3,1788,0.95,5.000000000000004,True,2.0,3.661234863102436,1000.0
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,3,1788,0.9,9.999999999999998,True,4.0,7.100733462721109,2000.0
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,3,1788,0.8,19.999999999999996,True,14.0,23.261813214048743,7000.0
fixed_uniform_raw_rooted,fixed,uniform,raw_rooted,3,1788,0.7,30.000000000000004,False,,,
